ID,time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),showers (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_mid (%),cloud_cover_low (%),visibility (m),evapotranspiration (mm),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (m/s),wind_speed_80m (m/s),wind_speed_120m (m/s),wind_speed_180m (m/s),wind_direction_10m (°),wind_direction_80m (°),wind_direction_120m (°),wind_direction_180m (°),wind_gusts_10m (m/s),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),cloud_cover_high (%),uv_index (),uv_index_clear_sky (),sunshine_duration (s),wet_bulb_temperature_2m (°C),freezing_level_height (m),boundary_layer_height (m),region,weather_category,precipitation_probability (%)
region 6_2025-11-17_03,2025-11-17 03:00:00,26.7,87.0,24.4,31.4,2.1,0.0,2.1,0.0,0.0,95.0,1009.3,1006.9,100.0,53.0,54.0,24140.0,0.1,0.01,0.46,3.23,3.86,3.96,4.52,286.0,287.0,286.0,288.0,4.9,25.6,24.9,24.2,100.0,0.0,0.0,0.0,25.0,5030.0,65.0,region 6,Thunderstorm no hail,25
region 7_2025-11-17_03,2025-11-17 03:00:00,26.8,91.0,25.2,33.1,0.0,0.0,0.0,0.0,0.0,2.0,1009.3,1001.6,80.0,49.0,44.0,24140.0,0.01,0.0,0.32,1.02,2.43,3.28,3.96,281.0,279.0,282.0,286.0,1.8,27.0,26.6,26.1,30.0,0.0,0.0,0.0,25.6,5000.0,15.0,region 7,Thunderstorm no hail,38
region 8_2025-11-17_03,2025-11-17 03:00:00,24.8,95.0,24.0,30.4,0.0,0.0,0.0,0.0,0.0,3.0,1009.6,998.3,100.0,15.0,66.0,24140.0,0.01,0.0,0.16,1.0,2.08,2.58,3.18,217.0,215.0,216.0,224.0,1.9,24.7,24.1,23.5,100.0,0.0,0.0,0.0,24.2,4960.0,75.0,region 8,Rain shower slight,10
region 1_2025-11-17_04,2025-11-17 04:00:00,21.3,93.0,20.1,24.7,0.0,0.0,0.0,0.0,0.0,3.0,1010.6,967.4,96.0,72.0,15.0,24140.0,0.01,0.0,0.18,1.14,1.84,1.93,2.28,322.0,299.0,291.0,285.0,2.9,23.1,22.6,21.9,81.0,0.0,0.0,0.0,20.5,4940.0,20.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_04,2025-11-17 04:00:00,24.7,97.0,24.2,30.7,0.0,0.0,0.0,0.0,0.0,45.0,1009.5,1003.2,97.0,71.0,75.0,24140.0,-0.0,0.0,0.09,0.5,1.13,1.36,1.93,323.0,315.0,306.0,291.0,3.0,25.0,24.5,23.9,60.0,0.0,0.0,0.0,24.4,5000.0,80.0,region 2,Rain shower slight,80
region 3_2025-11-17_04,2025-11-17 04:00:00,24.7,96.0,24.1,30.7,0.0,0.0,0.0,0.0,0.0,45.0,1009.5,996.9,97.0,75.0,60.0,24140.0,-0.0,0.0,0.12,0.41,1.22,1.63,2.02,284.0,261.0,259.0,261.0,1.3,25.1,24.6,23.9,74.0,0.0,0.0,0.0,24.3,4960.0,30.0,region 3,Rain shower slight,25
region 4_2025-11-17_04,2025-11-17 04:00:00,23.3,94.0,22.2,28.0,0.0,0.0,0.0,0.0,0.0,3.0,1009.9,991.5,91.0,36.0,60.0,24140.0,-0.0,0.0,0.17,0.61,1.64,2.05,2.7,261.0,232.0,227.0,231.0,2.2,23.5,22.8,22.2,67.0,0.0,0.0,0.0,22.5,4910.0,130.0,region 4,Thunderstorm no hail,20
region 5_2025-11-17_04,2025-11-17 04:00:00,25.2,92.0,23.8,30.9,0.9,0.0,0.9,0.0,0.0,80.0,1009.1,1003.7,98.0,74.0,57.0,24140.0,-0.0,0.0,0.26,0.5,1.75,2.34,2.77,233.0,246.0,250.0,257.0,1.0,24.9,24.5,23.8,83.0,0.0,0.0,0.0,24.1,4980.0,45.0,region 5,Thunderstorm no hail,25
region 6_2025-11-17_04,2025-11-17 04:00:00,26.6,87.0,24.3,31.3,2.0,0.0,2.0,0.0,0.0,95.0,1009.1,1006.7,100.0,49.0,54.0,24140.0,0.11,0.01,0.45,3.13,3.64,3.86,4.52,287.0,286.0,287.0,288.0,4.9,25.5,24.8,24.1,100.0,0.0,0.0,0.0,24.9,5000.0,90.0,region 6,Thunderstorm no hail,25
region 7_2025-11-17_04,2025-11-17 04:00:00,26.6,92.0,25.2,32.9,0.0,0.0,0.0,0.0,0.0,3.0,1009.0,1001.3,96.0,52.0,48.0,24140.0,0.01,0.0,0.28,,2.31,3.14,3.93,276.0,275.0,279.0,285.0,1.8,26.9,26.5,25.9,82.0,0.0,,0.0,25.5,4980.0,20.0,region 7,Thunderstorm no hail,35
region 8_2025-11-17_04,2025-11-17 04:00:00,24.6,95.0,23.8,30.2,0.0,0.0,0.0,0.0,0.0,3.0,1009.4,998.1,93.0,33.0,68.0,24140.0,-0.0,0.0,0.15,0.86,2.01,2.51,3.06,216.0,207.0,209.0,218.0,1.8,24.6,24.1,23.4,71.0,0.0,0.0,0.0,24.0,4930.0,70.0,region 8,Rain shower slight,15
region 1_2025-11-17_05,2025-11-17 05:00:00,21.0,,19.8,24.2,0.0,0.0,0.0,0.0,0.0,3.0,1011.1,967.9,91.0,68.0,27.0,24140.0,0.01,0.0,0.17,1.14,1.75,1.87,2.14,322.0,294.0,286.0,281.0,2.9,23.0,22.5,21.8,58.0,0.0,0.0,0.0,20.2,4920.0,20.0,region 1,Thunderstorm no hail,3
region 2_2025-11-17_05,2025-11-17 05:00:00,24.7,96.0,24.1,30.7,0.0,0.0,0.0,0.0,0.0,45.0,1010.0,1003.7,97.0,73.0,75.0,24140.0,-0.0,0.0,0.12,0.42,1.08,1.34,1.87,315.0,304.0,297.0,286.0,2.1,24.8,24.4,23.8,63.0,0.0,0.0,0.0,24.2,5000.0,95.0,region 2,Rain shower slight,83
region 3_2025-11-17_05,2025-11-17 05:00:00,24.7,96.0,24.1,30.7,0.0,0.0,0.0,0.0,0.0,45.0,1009.9,997.3,97.0,86.0,64.0,24140.0,-0.0,0.0,0.12,0.32,1.36,1.58,2.06,288.0,253.0,252.0,256.0,0.9,24.9,24.4,23.7,55.0,0.0,0.0,0.0,24.3,4960.0,45.0,region 3,Rain shower slight,23
region 4_2025-11-17_05,2025-11-17 05:00:00,23.3,93.0,22.1,27.9,0.0,0.0,0.0,0.0,0.0,3.0,1010.3,991.9,95.0,44.0,69.0,24140.0,-0.0,0.0,0.2,0.7,1.56,2.05,2.69,270.0,225.0,223.0,228.0,1.8,23.3,22.6,22.0,74.0,0.0,0.0,0.0,22.4,4920.0,135.0,region 4,Thunderstorm no hail,20
region 5_2025-11-17_05,2025-11-17 05:00:00,25.0,93.0,23.8,30.8,0.5,0.0,0.5,0.0,0.0,80.0,1009.6,1004.2,98.0,75.0,59.0,24140.0,-0.0,0.0,0.22,0.42,1.75,2.44,2.79,225.0,246.0,251.0,255.0,0.9,24.8,24.4,23.7,76.0,0.0,,0.0,24.1,4970.0,40.0,region 5,Thunderstorm no hail,23
region 6_2025-11-17_05,2025-11-17 05:00:00,26.7,88.0,24.5,31.5,2.0,0.0,2.0,0.0,0.0,95.0,1009.5,1007.1,100.0,46.0,59.0,24140.0,0.1,0.01,0.42,3.1,3.61,3.83,4.37,285.0,284.0,285.0,286.0,4.7,25.6,24.9,24.1,100.0,0.0,0.0,0.0,25.1,4990.0,90.0,region 6,Thunderstorm no hail,23
region 7_2025-11-17_05,2025-11-17 05:00:00,26.5,92.0,25.1,32.8,0.0,0.0,0.0,0.0,0.0,3.0,1009.5,1001.8,96.0,55.0,53.0,24140.0,0.01,0.0,0.28,1.0,2.3,3.11,3.86,276.0,272.0,276.0,280.0,1.7,26.7,26.4,25.8,82.0,0.0,0.0,0.0,25.5,4980.0,15.0,region 7,Thunderstorm no hail,35
region 8_2025-11-17_05,2025-11-17 05:00:00,24.6,95.0,23.8,30.1,0.0,0.0,0.0,0.0,0.0,3.0,1009.9,998.6,92.0,41.0,73.0,24140.0,-0.0,0.0,0.15,0.92,2.01,2.56,3.19,221.0,207.0,211.0,221.0,1.7,24.6,24.1,23.5,53.0,0.0,0.0,0.0,24.0,4950.0,60.0,region 8,Rain shower slight,23
region 1_2025-11-17_06,2025-11-17 06:00:00,20.8,93.0,19.6,23.9,0.0,0.0,0.0,0.0,0.0,3.0,1011.6,968.3,84.0,60.0,33.0,24140.0,0.01,0.0,0.17,1.14,1.7,1.77,2.04,322.0,298.0,286.0,281.0,2.9,22.9,22.3,21.6,36.0,0.0,0.0,0.0,20.0,4930.0,20.0,region 1,Thunderstorm no hail,3
region 2_2025-11-17_06,2025-11-17 06:00:00,24.7,96.0,24.1,30.7,0.0,0.0,0.0,0.0,0.0,45.0,1010.4,1004.1,97.0,78.0,73.0,18520.0,-0.0,0.0,0.12,,1.08,1.34,1.87,315.0,304.0,297.0,286.0,2.6,24.7,24.3,23.7,57.0,0.0,0.0,0.0,24.2,4990.0,85.0,region 2,Rain shower slight,80
region 3_2025-11-17_06,2025-11-17 06:00:00,24.8,95.0,23.9,30.7,0.0,0.0,0.0,0.0,0.0,3.0,1010.4,997.8,95.0,83.0,63.0,24140.0,-0.0,0.0,0.16,0.28,1.24,1.55,1.92,315.0,256.0,255.0,261.0,0.9,24.7,24.3,23.6,13.0,0.0,0.0,0.0,24.2,4950.0,55.0,region 3,Rain shower slight,25
region 4_2025-11-17_06,2025-11-17 06:00:00,23.2,94.0,22.2,27.8,0.0,0.0,0.0,0.0,0.0,3.0,1010.8,992.4,97.0,54.0,72.0,24140.0,-0.0,0.0,0.17,0.81,1.7,2.19,3.0,263.0,230.0,227.0,233.0,2.1,23.1,22.5,22.0,79.0,0.0,0.0,0.0,22.5,4930.0,160.0,region 4,Thunderstorm no hail,18
region 5_2025-11-17_06,2025-11-17 06:00:00,25.0,93.0,23.8,30.8,1.0,0.0,1.0,0.0,0.0,95.0,1010.1,1004.7,100.0,62.0,59.0,21420.0,-0.0,0.0,0.22,0.32,1.58,2.38,2.75,252.0,252.0,255.0,260.0,0.7,24.7,24.3,23.6,100.0,0.0,,0.0,24.1,4970.0,35.0,region 5,Thunderstorm no hail,25
region 6_2025-11-17_06,2025-11-17 06:00:00,26.6,88.0,24.5,31.4,2.0,0.0,2.0,0.0,0.0,95.0,1009.9,1007.5,,47.0,58.0,24140.0,0.1,0.01,0.42,3.1,3.51,3.73,4.24,291.0,290.0,290.0,289.0,4.8,25.6,24.9,24.1,100.0,0.0,0.0,0.0,25.0,4990.0,65.0,region 6,Thunderstorm no hail,25
region 7_2025-11-17_06,2025-11-17 06:00:00,26.4,92.0,25.0,32.7,0.0,0.0,0.0,0.0,0.0,3.0,1009.9,1002.2,89.0,58.0,59.0,24140.0,0.01,0.0,0.28,,2.24,3.04,3.69,288.0,280.0,279.0,283.0,1.9,26.6,26.3,25.7,37.0,0.0,0.0,0.0,25.4,4980.0,15.0,region 7,Thunderstorm no hail,35
region 8_2025-11-17_06,2025-11-17 06:00:00,24.7,94.0,23.7,30.0,0.0,0.0,0.0,0.0,0.0,3.0,1010.3,999.0,92.0,54.0,67.0,24140.0,0.01,0.0,0.19,,2.39,2.86,3.47,222.0,213.0,216.0,226.0,2.1,24.6,24.0,23.3,54.0,0.0,0.0,0.0,24.0,4980.0,65.0,region 8,Rain shower slight,20
region 1_2025-11-17_07,2025-11-17 07:00:00,21.2,93.0,20.0,24.4,0.0,0.0,0.0,0.0,0.0,2.0,1012.0,968.7,75.0,56.0,33.0,24140.0,0.02,0.02,0.18,1.14,1.7,1.8,2.04,322.0,298.0,289.0,281.0,2.9,22.8,22.2,21.5,11.0,0.15,0.2,123.99,20.3,4980.0,120.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_07,2025-11-17 07:00:00,25.0,96.0,24.3,31.1,0.0,0.0,0.0,0.0,0.0,45.0,1010.8,1004.5,96.0,76.0,72.0,24140.0,0.01,0.02,0.13,0.32,0.86,1.14,1.43,342.0,324.0,308.0,295.0,2.5,24.7,24.2,23.6,39.0,0.1,0.2,0.0,24.5,4990.0,90.0,region 2,Rain shower slight,80
region 3_2025-11-17_07,2025-11-17 07:00:00,25.0,95.0,24.2,31.1,0.0,0.0,0.0,0.0,0.0,3.0,1010.8,998.2,90.0,68.0,59.0,24140.0,-0.0,0.02,0.16,0.32,1.33,1.63,2.01,288.0,257.0,259.0,264.0,0.9,24.6,24.2,23.6,14.0,0.2,0.25,0.0,24.4,4990.0,130.0,region 3,Rain shower slight,25
region 4_2025-11-17_07,2025-11-17 07:00:00,23.5,95.0,22.7,28.3,0.0,0.0,0.0,0.0,0.0,3.0,1011.1,992.7,96.0,50.0,71.0,24140.0,0.01,0.02,0.14,1.04,2.16,2.58,3.33,253.0,236.0,234.0,237.0,2.7,23.0,22.4,21.9,72.0,0.2,0.25,0.0,22.9,4980.0,280.0,region 4,Thunderstorm no hail,20
region 5_2025-11-17_07,2025-11-17 07:00:00,25.2,93.0,24.0,31.1,1.0,0.0,1.0,0.0,0.0,95.0,1010.5,1005.1,95.0,50.0,57.0,20760.0,0.01,0.02,0.22,0.32,1.55,2.35,2.82,252.0,255.0,258.0,264.0,0.8,24.6,24.2,23.5,75.0,0.15,,,24.3,4990.0,100.0,region 5,Thunderstorm no hail,25
region 6_2025-11-17_07,2025-11-17 07:00:00,26.6,87.0,24.3,31.4,1.8,0.0,1.8,0.0,0.0,95.0,1010.3,1007.9,100.0,46.0,54.0,24140.0,0.1,0.04,0.45,2.86,3.18,3.36,3.9,295.0,294.0,293.0,293.0,4.6,25.5,24.8,24.1,100.0,0.1,0.2,0.0,24.9,4980.0,135.0,region 6,Thunderstorm no hail,25
region 7_2025-11-17_07,2025-11-17 07:00:00,26.6,92.0,25.2,33.1,0.0,0.0,0.0,0.0,0.0,3.0,1010.3,1002.6,,57.0,64.0,24140.0,0.01,0.02,0.28,0.81,1.8,2.5,3.16,300.0,289.0,286.0,288.0,1.7,26.6,26.2,25.7,6.0,0.1,0.2,0.0,25.6,4960.0,30.0,region 7,Thunderstorm no hail,38
region 8_2025-11-17_07,2025-11-17 07:00:00,25.1,93.0,23.9,30.4,0.0,0.0,0.0,0.0,0.0,3.0,1010.7,999.4,95.0,51.0,73.0,24140.0,0.02,0.03,0.22,1.49,2.77,3.33,4.04,222.0,221.0,221.0,228.0,2.8,24.4,23.8,23.1,66.0,0.25,0.25,0.0,24.2,5010.0,250.0,region 8,Rain shower slight,15
region 1_2025-11-17_08,2025-11-17 08:00:00,23.7,84.0,20.9,27.3,0.0,0.0,0.0,0.0,0.0,2.0,1012.4,969.5,75.0,44.0,28.0,24140.0,0.08,0.13,0.47,1.3,1.8,2.1,2.5,270.0,270.0,270.0,270.0,3.2,22.7,22.1,21.4,39.0,1.25,1.6,,21.6,4960.0,250.0,region 1,Thunderstorm no hail,0
region 2_2025-11-17_08,2025-11-17 08:00:00,25.9,90.0,24.1,31.7,0.0,0.0,0.0,0.0,0.0,3.0,1011.4,1005.1,95.0,60.0,71.0,19760.0,0.05,0.09,0.33,0.76,0.89,1.14,1.39,337.0,333.0,322.0,300.0,3.7,24.6,24.0,23.4,55.0,1.1,1.5,1210.46,24.6,4980.0,190.0,region 2,Rain shower slight,83
